property,opened_date,contracted_date,completed_date,signoffreceived_date,usps_id,closed_date,usps_issue_number,estimated_cost,status,priority,category,type,assignedto,project_origin,project_age,age_bucket,stage_group,is_open,project_key
"Dover, PA",2025-08-25,,,,na,,na,2300.0,Assigned,Normal,Capital Improvement,Painting,Mike Johnson,USPS,240.0,90+,Not Started,Open,"Dover, PA|2025-08-25"
"Dover, PA",2025-08-25,,,,na,,na,2900.0,Assigned,Normal,Capital Improvement,Lighting,Mike Johnson,USPS,240.0,90+,Not Started,Open,"Dover, PA|2025-08-25"
"Dover, PA",2025-08-25,,,,na,,na,3200.0,Assigned,Normal,Capital Improvement,Glass,Mike Johnson,USPS,240.0,90+,Not Started,Open,"Dover, PA|2025-08-25"
"Dover, PA",2025-08-25,,,,na,,na,4000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,240.0,90+,Not Started,Open,"Dover, PA|2025-08-25"
"Dover, PA",2025-08-25,2052-09-22,2025-10-01,,na,,na,3600.0,Closed,Urgent,Capital Improvement,Concrete,Mike Johnson,USPS,240.0,90+,Closed,Closed,"Dover, PA|2025-08-25"
"Springfield, IN",2025-08-26,,,,na,,na,12000.0,Assigned,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,239.0,90+,Not Started,Open,"Springfield, IN|2025-08-26"
"Farmington, SC",2025-08-26,,,,na,,na,9000.0,Assigned,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,239.0,90+,Not Started,Open,"Farmington, SC|2025-08-26"
"Rockville, NM",2025-08-26,,2025-09-14,,na,2025-09-14,na,0.0,Closed,Urgent,Capital Improvement,Paving (Repair),Mike Johnson,USPS,19.0,0-30,Closed,Closed,"Rockville, NM|2025-08-26"
"Rockville, NM",2025-08-26,2025-08-28,2025-10-02,,na,2025-10-19,na,19523.0,Closed,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,54.0,31-60,Closed,Closed,"Rockville, NM|2025-08-26"
"Springfield, IN",2025-08-26,2025-08-28,2025-09-13,,na,2025-09-28,na,19952.0,Closed,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,33.0,31-60,Closed,Closed,"Springfield, IN|2025-08-26"
"Marion, RI",2025-08-26,2025-08-28,2025-09-13,,na,,na,23749.15,Contracted,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,239.0,90+,In Progress,Open,"Marion, RI|2025-08-26"
"Lancaster, MI",2025-08-28,2025-10-15,,,2570246,,3117916,13157.0,Contracted,Urgent,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,237.0,90+,In Progress,Open,"Lancaster, MI|2025-08-28"
"Canton, WV",2025-09-02,,,,na,,na,10000.0,Assigned,Urgent,Capital Improvement,Paving (Replacement),Mike Johnson,USPS,232.0,90+,Not Started,Open,"Canton, WV|2025-09-02"
"Salem, TX",2025-09-10,,,,na,,na,10000.0,Assigned,Urgent,Capital Improvement,Building Repairs,Mike Johnson,USPS,224.0,90+,Not Started,Open,"Salem, TX|2025-09-10"
"Oakland, TN",2025-09-10,2025-10-07,,,na,,na,5313.0,Contracted,Urgent,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,224.0,90+,In Progress,Open,"Oakland, TN|2025-09-10"
"Salem, TX",2025-09-10,2025-10-15,,,na,,na,64616.9,Deposit,Urgent,Capital Improvement,Structural,Mike Johnson,USPS,224.0,90+,In Progress,Open,"Salem, TX|2025-09-10"
"Clinton, AK",2025-09-14,2025-10-13,,,na,,na,25000.0,Contracted,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,220.0,90+,In Progress,Open,"Clinton, AK|2025-09-14"
"Winchester, PA",2025-09-16,,,,,,,2500.0,Assigned,Normal,Capital Improvement,HVAC Replacement,Jessica Martin,Internal,218.0,90+,Not Started,Open,"Winchester, PA|2025-09-16"
"Danville, VA",2025-09-28,,,,,,,10000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Shingle,Jessica Martin,Internal,206.0,90+,Not Started,Open,"Danville, VA|2025-09-28"
"Salem, PA",2025-09-28,,,,,,,6000.0,Assigned,Normal,Capital Improvement,HVAC Replacement,Jessica Martin,Internal,206.0,90+,Not Started,Open,"Salem, PA|2025-09-28"
"Oakland, PA",2025-09-28,,,,,,,10000.0,Assigned,Normal,Capital Improvement,Paving (Replacement),Jessica Martin,Internal,206.0,90+,Not Started,Open,"Oakland, PA|2025-09-28"
"Jackson, FL",2025-09-28,,,,,,,10000.0,Assigned,Normal,Capital Improvement,Paving (Replacement),Jessica Martin,Internal,206.0,90+,Not Started,Open,"Jackson, FL|2025-09-28"
"Jackson, VT",2025-09-28,,,,,,,10000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Shingle,Jessica Martin,Internal,206.0,90+,Not Started,Open,"Jackson, VT|2025-09-28"
"Lancaster, NH",2025-09-28,,,,,,,7000.0,Assigned,Normal,Capital Improvement,HVAC Replacement,Jessica Martin,Internal,206.0,90+,Not Started,Open,"Lancaster, NH|2025-09-28"
"Edison, DE",2025-09-28,,,,,,,10000.0,Assigned,Normal,Capital Improvement,Roof Replacement - Shingle,Jessica Martin,Internal,206.0,90+,Not Started,Open,"Edison, DE|2025-09-28"
"Lancaster, UT",2025-10-01,2025-10-21,,,na,,na,3540.0,Assigned,Urgent,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,203.0,90+,Not Started,Open,"Lancaster, UT|2025-10-01"
"Farmington, IL",2025-10-07,2025-10-21,,,,,,4200.0,Contracted,Normal,Capital Improvement,HVAC Replacement,Mike Johnson,Internal,197.0,90+,In Progress,Open,"Farmington, IL|2025-10-07"
"Jackson, NM",2025-10-08,2025-10-08,,,na,,na,6217.0,Contracted,Normal,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,196.0,90+,In Progress,Open,"Jackson, NM|2025-10-08"
"Clayton, AK",2025-10-15,,,,na,,na,20000.0,Assigned,Urgent,Capital Improvement,Electrical Repairs,Brandon Davis,USPS,189.0,90+,Not Started,Open,"Clayton, AK|2025-10-15"
"Clayton, AK",2025-10-15,,,,na,,na,10000.0,Assigned,Urgent,Capital Improvement,Fencing,Jessica Martin,USPS,189.0,90+,Not Started,Open,"Clayton, AK|2025-10-15"
"Clayton, AK",2025-10-15,,,,na,,na,60000.0,Assigned,Urgent,Capital Improvement,Paving (Replacement),Mike Johnson,USPS,189.0,90+,Not Started,Open,"Clayton, AK|2025-10-15"
"Edison, PA",2025-10-16,,,,2584279,,3133318,5000.0,Assigned,Normal,Capital Improvement,Paving (Replacement),Jessica Martin,USPS,188.0,90+,Not Started,Open,"Edison, PA|2025-10-16"
"Norwood, NH",2025-10-21,,,,,,,18000.0,Assigned,Normal,Capital Improvement,Paving (Replacement),Kevin Miller,Internal,183.0,90+,Not Started,Open,"Norwood, NH|2025-10-21"
"Oakland, LA",2025-10-21,2025-10-21,,,na,,na,4200.0,Contracted,Normal,Capital Improvement,HVAC Replacement,Mike Johnson,USPS,183.0,90+,In Progress,Open,"Oakland, LA|2025-10-21"
"Clinton, NC",2025-10-22,2025-10-22,,,na,,na,69824.0,Contracted,Urgent,Capital Improvement,Roof Replacement - Flat,Mike Johnson,USPS,182.0,90+,In Progress,Open,"Clinton, NC|2025-10-22"
"Newport, WY",2025-10-22,2025-10-22,,,na,,na,7104.0,Deposit,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,182.0,90+,In Progress,Open,"Newport, WY|2025-10-22"
"Springfield, AK",2025-10-22,2025-10-22,,,na,,na,17216.0,Deposit,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,182.0,90+,In Progress,Open,"Springfield, AK|2025-10-22"
"Fairview, WI",2025-10-22,2025-10-22,,,na,,na,16935.0,Deposit,Normal,Capital Improvement,Roof Replacement - Shingle,Mike Johnson,USPS,182.0,90+,In Progress,Open,"Fairview, WI|2025-10-22"
"Danville, NM",2023-01-01,,2024-02-05,,,,,250.0,Closed,Unknown,Repair,Misc. Repairs,Brandon Davis,Internal,1207.0,90+,Closed,Closed,"Danville, NM|2023-01-01"
"Anderson, AR",2023-01-03,2023-10-12,2023-11-09,2023-11-13,2219773,2023-11-28,2750335,8708.0,Closed,Emergency,Repair,HVAC Repairs,Mike Johnson,USPS,329.0,90+,Closed,Closed,"Anderson, AR|2023-01-03"
"Lexington, WV",2023-01-05,2023-01-05,2023-01-05,2023-01-22,,2023-01-24,2751655,,Closed,Emergency,Repair,HVAC Repairs,Brandon Davis,USPS,19.0,0-30,Closed,Closed,"Lexington, WV|2023-01-05"
"Milton, MO",2023-01-08,2023-01-08,2023-01-09,2023-01-10,,2023-01-10,2750411,95.0,Closed,Emergency,Repair,Plumbing,Mike Johnson,USPS,2.0,0-30,Closed,Closed,"Milton, MO|2023-01-08"
"Springfield, WV",2023-01-08,2023-01-08,2023-01-08,2023-01-08,,2023-01-10,2752343,115.0,Closed,Emergency,Repair,Plumbing,Mike Johnson,USPS,2.0,0-30,Closed,Closed,"Springfield, WV|2023-01-08"
"Anderson, PA",2023-01-18,2023-01-18,2023-01-19,2023-01-22,2215655,2023-02-07,2746005,133.75,Closed,Urgent,Repair,Electrical Repairs,Mike Johnson,USPS,20.0,0-30,Closed,Closed,"Anderson, PA|2023-01-18"
"Auburn, FL",2023-01-18,2023-01-19,2023-01-22,2023-01-23,2202955,2023-02-01,2732702,140.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,14.0,0-30,Closed,Closed,"Auburn, FL|2023-01-18"
"Bloomington, AZ",2023-01-18,2023-01-19,2023-01-19,2023-01-22,2218065,2023-01-24,2748593,200.0,Closed,Urgent,Repair,HVAC Repairs,Sarah Williams,USPS,6.0,0-30,Closed,Closed,"Bloomington, AZ|2023-01-18"
"Bloomington, ME",2023-01-18,2023-04-20,2023-04-28,2023-04-30,2220665,2023-05-04,2751261,450.0,Closed,Urgent,Repair,Ceiling Tiles,Brandon Davis,USPS,106.0,90+,Closed,Closed,"Bloomington, ME|2023-01-18"
"Bloomington, WY",2023-01-18,2023-01-19,2023-02-01,2023-02-07,2221631,2023-02-14,2752185,220.0,Closed,Urgent,Repair,Electrical Repairs,Mike Johnson,USPS,27.0,0-30,Closed,Closed,"Bloomington, WY|2023-01-18"
"Bristol, GA",2023-01-18,2023-01-24,2023-01-28,2023-01-29,2220568,2023-02-07,2751147,250.0,Closed,Urgent,Repair,Paving (Repair),Mike Johnson,USPS,20.0,0-30,Closed,Closed,"Bristol, GA|2023-01-18"
"Burlington, AR",2023-01-18,2023-09-27,2023-12-04,2023-12-04,2216448,,2746969,1800.0,Closed,Urgent,Repair,Siding,Mike Johnson,USPS,1190.0,90+,Closed,Closed,"Burlington, AR|2023-01-18"
"Burlington, AR",2023-01-18,,,2023-01-18,2218921,2023-01-18,2749510,,Closed,Urgent,Repair,Plumbing,Sarah Williams,USPS,0.0,0-30,Closed,Closed,"Burlington, AR|2023-01-18"
"Canton, DE",2023-01-18,2023-01-19,2023-01-22,2023-01-24,2217885,2023-01-24,2748339,322.5,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,6.0,0-30,Closed,Closed,"Canton, DE|2023-01-18"
"Centerville, RI",2023-01-18,,,,2217401,2023-01-18,2747846,,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,0.0,0-30,Closed,Closed,"Centerville, RI|2023-01-18"
"Clinton, OK",2023-01-18,2023-08-13,2023-08-22,2023-08-27,2223591,2023-08-28,2754200,794.2,Closed,Urgent,Repair,Misc. Repairs,Brandon Davis,USPS,222.0,90+,Closed,Closed,"Clinton, OK|2023-01-18"
"Dayton, NE",2023-01-18,2023-02-13,2023-02-13,2023-02-14,2216872,2023-02-22,2747265,185.0,Closed,Urgent,Repair,Plumbing,Sarah Williams,USPS,35.0,31-60,Closed,Closed,"Dayton, NE|2023-01-18"
"Dover, VT",2023-01-18,2023-01-19,2023-01-26,2023-05-10,2222297,2023-05-18,2752850,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,120.0,90+,Closed,Closed,"Dover, VT|2023-01-18"
"Edison, WY",2023-01-18,2023-01-26,2023-01-30,2023-02-01,2223733,2023-02-01,2754377,0.0,Closed,Urgent,Repair,Roof Repair,Mike Johnson,USPS,14.0,0-30,Closed,Closed,"Edison, WY|2023-01-18"
"Franklin, DE",2023-01-18,2023-01-26,2023-01-31,2023-01-31,2223555,2023-02-07,2754239,700.0,Closed,Urgent,Repair,Striping,Mike Johnson,USPS,20.0,0-30,Closed,Closed,"Franklin, DE|2023-01-18"
"Franklin, DE",2023-01-18,2023-02-26,2023-04-06,2023-04-09,2223555,2023-04-11,2754188,347.37,Closed,Normal,Repair,Painting,Mike Johnson,USPS,83.0,61-90,Closed,Closed,"Franklin, DE|2023-01-18"
"Norwood, HI",2023-01-18,2023-01-25,2023-02-01,2023-02-12,2217137,2023-04-11,2747598,686.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,83.0,61-90,Closed,Closed,"Norwood, HI|2023-01-18"
"Arlington, UT",2023-01-24,2023-01-26,2023-02-06,2023-02-14,2226767,2023-03-06,2757593,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,41.0,31-60,Closed,Closed,"Arlington, UT|2023-01-24"
"Fairview, ME",2023-01-24,2023-01-26,2023-03-15,,2224676,2023-03-28,2755377,,Closed,Urgent,Repair,Flooring,Brandon Davis,USPS,63.0,61-90,Closed,Closed,"Fairview, ME|2023-01-24"
"Hamilton, AZ",2023-01-24,2023-02-02,2023-02-12,2023-02-21,2228207,2023-02-22,2759005,645.7,Closed,Normal,Repair,Electrical Repairs,Sarah Williams,USPS,29.0,0-30,Closed,Closed,"Hamilton, AZ|2023-01-24"
"Plymouth, CA",2023-01-24,,2024-10-04,2024-10-04,2228233,,2759041,,Closed,Normal,Repair,Misc. Repairs,Mike Johnson,USPS,1184.0,90+,Closed,Closed,"Plymouth, CA|2023-01-24"
"Salem, NM",2023-01-24,2023-02-28,2023-03-08,2023-03-08,2227207,2023-03-14,2758113,125.0,Closed,Urgent,Repair,Gutters,Mike Johnson,USPS,49.0,31-60,Closed,Closed,"Salem, NM|2023-01-24"
"Springfield, TN",2023-01-24,2023-06-15,2023-06-20,2023-06-25,2228377,2023-06-27,2759168,300.0,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,154.0,90+,Closed,Closed,"Springfield, TN|2023-01-24"
"Auburn, FL",2023-01-29,2023-02-26,2023-07-02,2023-07-10,2228709,2023-07-18,2759546,800.0,Closed,Urgent,Repair,Painting,Mike Johnson,USPS,170.0,90+,Closed,Closed,"Auburn, FL|2023-01-29"
"Edison, WY",2023-01-29,2023-01-31,2023-02-13,2023-02-15,2229104,2023-02-15,2760030,145.0,Closed,Urgent,Repair,Plumbing,Mike Johnson,USPS,17.0,0-30,Closed,Closed,"Edison, WY|2023-01-29"
"Edison, WY",2023-01-29,2023-01-31,2023-02-02,2023-02-06,2229137,2023-02-14,2759962,367.48,Closed,Urgent,Repair,Electrical Repairs,Mike Johnson,USPS,16.0,0-30,Closed,Closed,"Edison, WY|2023-01-29"
"Franklin, DE",2023-01-29,2023-03-09,2023-04-06,2023-04-09,2228776,2023-04-11,2759611,173.69,Closed,Urgent,Repair,Plumbing,Mike Johnson,USPS,72.0,61-90,Closed,Closed,"Franklin, DE|2023-01-29"
"Georgetown, NC",2023-01-29,2023-03-01,2023-03-16,2023-05-01,2228966,2023-05-01,2759794,,Closed,Urgent,Repair,Gutters,Sarah Williams,USPS,92.0,90+,Closed,Closed,"Georgetown, NC|2023-01-29"
"Hamilton, ND",2023-01-29,2023-02-02,2023-02-21,2023-02-22,2229782,2023-03-14,2760691,320.0,Closed,Urgent,Repair,Roof Repair,Mike Johnson,USPS,44.0,31-60,Closed,Closed,"Hamilton, ND|2023-01-29"
"Lexington, WV",2023-01-29,2023-01-29,2023-01-30,,2228478,2023-03-29,2759208,,Closed,Urgent,Repair,Plumbing,Brandon Davis,USPS,59.0,31-60,Closed,Closed,"Lexington, WV|2023-01-29"
"Troy, AL",2023-01-29,2023-05-31,2023-06-28,2023-07-16,2226383,2023-07-18,2757170,543.0,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,170.0,90+,Closed,Closed,"Troy, AL|2023-01-29"
"Winchester, GA",2023-01-29,2023-03-21,2023-03-24,2023-04-05,2226793,2023-05-02,2757570,80.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,93.0,90+,Closed,Closed,"Winchester, GA|2023-01-29"
"Dayton, NE",2023-01-31,,,,,,,150.0,Closed,Normal,Repair,Snow Removal,Ashley Thompson,Internal,1177.0,90+,Closed,Closed,"Dayton, NE|2023-01-31"
"Georgetown, CT",2023-01-31,2023-06-18,2023-06-22,2023-06-25,2231122,2023-06-27,2762174,6154.0,Closed,Urgent,Repair,Drive Thru,Mike Johnson,USPS,147.0,90+,Closed,Closed,"Georgetown, CT|2023-01-31"
"Auburn, FL",2023-02-02,2023-02-02,2023-02-02,2023-02-16,,2023-02-22,,370.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,Internal,20.0,0-30,Closed,Closed,"Auburn, FL|2023-02-02"
"Auburn, FL",2023-02-05,2023-02-07,2023-02-07,2023-02-20,2232654,2023-03-22,2763667,143.0,Closed,Urgent,Repair,Plumbing,Mike Johnson,USPS,45.0,31-60,Closed,Closed,"Auburn, FL|2023-02-05"
"Auburn, MS",2023-02-05,2023-01-24,2023-03-28,,,2024-01-02,,74.9,Closed,Normal,Repair,Pest Control,Ashley Thompson,Internal,331.0,90+,Closed,Closed,"Auburn, MS|2023-02-05"
"Clinton, OK",2023-02-05,2023-05-25,2023-07-24,2023-07-25,2230380,2023-08-21,2761277,2085.18,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,197.0,90+,Closed,Closed,"Clinton, OK|2023-02-05"
